event_id_x,timestamp,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,user_id,device_id,ip,account_id,event_id_y,src_ip,dst_ip,protocol,flow_duration,tls_version,cipher_suite,bytes_sent,bytes_received,label,event_type,isFraud
TX-633cdf5d,2026-01-01 12:00:00,CASH_OUT,673.14,U00186,2771.54,2098.4,U38220,U00186,DEV-11bd8d31,191.223.0.100,ACC-000290,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-d17fe8a1,2026-01-01 12:01:00,TRANSFER,457.89,U00132,22301.52,21843.63,U85637,U00132,DEV-02e00014,106.20.37.96,ACC-000150,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-2c41e57e,2026-01-01 12:03:00,TRANSFER,1186.42,U00100,29709.17,28522.75,U90666,U00100,DEV-8bc598a4,160.110.119.168,ACC-000251,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-66485549,2026-01-01 12:04:00,TRANSFER,139.4,U00070,33516.14,33376.74,U63143,U00070,DEV-f837c62d,82.195.214.82,ACC-000399,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-e0e4ef77,2026-01-01 12:05:00,CASH_IN,1451.82,U00199,20066.51,21518.329999999998,U75773,U00199,DEV-b21ef833,160.111.245.106,ACC-000113,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-ff1038c6,2026-01-01 12:05:00,PAYMENT,384.48,U00142,46160.3,45775.82,U90362,U00142,DEV-b276ab69,130.124.233.74,ACC-000342,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-0971600d,2026-01-01 12:11:00,CASH_IN,574.77,U00047,38823.23,39398.0,U41298,U00047,DEV-d7a0a3d1,188.71.240.229,ACC-000009,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-e5939908,2026-01-01 12:13:00,TRANSFER,308.61,U00044,9311.22,9002.609999999999,U36649,U00044,DEV-0e24dfda,29.76.18.189,ACC-000154,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-2ddd736b,2026-01-01 12:34:00,PAYMENT,825.83,U00017,28695.65,27869.82,U84155,U00017,DEV-8f8bcaec,12.152.54.171,ACC-000022,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-85d2165a,2026-01-01 12:35:00,TRANSFER,1168.9,U00037,22390.1,21221.199999999997,U72709,U00037,DEV-660c9955,88.228.218.85,ACC-000163,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-5f1c8ee7,2026-01-01 12:45:00,CASH_OUT,1329.83,U00096,4525.56,3195.7300000000005,U77618,U00096,DEV-dfffd899,89.192.168.65,ACC-000176,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-71dd86d8,2026-01-01 12:50:00,CASH_OUT,1440.43,U00169,30539.35,29098.92,U54740,U00169,DEV-d8b49b15,187.243.138.23,ACC-000060,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-1d350727,2026-01-01 12:50:00,PAYMENT,285.77,U00179,42642.94,42357.170000000006,U41276,U00179,DEV-f7a2d059,98.220.56.145,ACC-000318,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-7874484c,2026-01-01 12:52:00,DEBIT,110.22,U00142,2036.76,2146.98,U44481,U00142,DEV-01233e19,77.41.80.122,ACC-000312,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-995ee0cf,2026-01-01 13:06:00,CASH_OUT,1402.41,U00170,34232.13,32829.719999999994,U53895,U00170,DEV-9df35cea,93.28.150.183,ACC-000084,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-45ad8b79,2026-01-01 13:20:00,CASH_IN,629.22,U00120,4737.17,5366.39,U25095,U00120,DEV-cfdebcb0,29.57.31.103,ACC-000042,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
TX-2d41b60c,2026-01-01 13:24:00,DEBIT,299.97,U00020,48906.97,49206.94,U65550,U00020,DEV-b2462c08,52.153.14.23,ACC-000292,,,,,,Unknown,Unknown,0.0,0.0,Unknown,,0
